
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2022-07-26;Autriche;4734005;20254;0;0.43;0.00;99.57
2022-07-26;Barbade;90080;484;0;0.54;0.00;99.46
2022-07-26;Burundi;44437;38;0;0.09;0.00;99.91
2022-07-26;Brésil;33621965;677143;0;2.01;0.00;97.99
2022-07-26;Belize;66767;680;0;1.02;0.00;98.98
2022-07-26;Suisse;3911515;13877;0;0.35;0.00;99.65
2022-07-26;Colombie;6247634;140603;0;2.25;0.00;97.75
2022-07-26;Dominique;14852;68;0;0.46;0.00;99.54
2022-07-26;Grenade;18720;233;0;1.24;0.00;98.76
2022-07-26;Irlande;1639459;7620;0;0.46;0.00;99.54
2022-07-26;Iran;7337928;141717;0;1.93;0.00;98.07
2022-07-26;Japon;11499018;31946;0;0.28;0.00;99.72
2022-07-26;Saint-Kitts-et-Nevis;6430;46;0;0.72;0.00;99.28
2022-07-26;Laos;210877;757;0;0.36;0.00;99.64
2022-07-26;Lesotho;34040;702;0;2.06;0.00;97.94
2022-07-26;Monaco;13964;61;0;0.44;0.00;99.56
2022-07-26;Macédoine;323425;9359;0;2.89;0.00;97.11
2022-07-26;Martinique;208003;986;0;0.47;0.00;99.53
2022-07-26;Malawi;87250;2660;0;3.05;0.00;96.95
2022-07-26;Niger;9104;311;0;3.42;0.00;96.58
2022-07-26;Népal;984075;11957;0;1.22;0.00;98.78
2022-07-26;Pérou;3845093;214071;0;5.57;0.00;94.43
2022-07-26;Paraguay;701060;19147;0;2.73;0.00;97.27
2022-07-26;Rwanda;132121;1466;0;1.11;0.00;98.89
2022-07-26;Singapour;1664707;1483;0;0.09;0.00;99.91
2022-07-26;Saint-Marin;19619;118;0;0.60;0.00;99.40
2022-07-26;El Salvador;180970;4189;0;2.31;0.00;97.69
2022-07-26;Togo;37973;277;0;0.73;0.00;99.27
2022-07-26;Tunisie;1114370;28942;0;2.60;0.00;97.40
2022-07-26;Tanzanie;37510;841;0;2.24;0.00;97.76
2022-07-26;Ouzbékistan;242811;1637;0;0.67;0.00;99.33
2022-07-26;Viet Nam;10768844;43092;0;0.40;0.00;99.60
2022-07-26;Mayotte;38653;187;0;0.48;0.00;99.52
2022-07-25;Mayotte;38653;187;0;0.48;0.00;99.52
2022-07-25;Viet Nam;10768844;43092;0;0.40;0.00;99.60
2022-07-25;Ouzbékistan;242747;1637;0;0.67;0.00;99.33
2022-07-25;Tanzanie;37510;841;0;2.24;0.00;97.76
2022-07-25;Tunisie;1114370;28942;0;2.60;0.00;97.40
2022-07-25;Togo;37973;277;0;0.73;0.00;99.27
2022-07-25;El Salvador;180970;4189;0;2.31;0.00;97.69
2022-07-25;Saint-Marin;19619;118;0;0.60;0.00;99.40
2022-07-25;Singapour;1664707;1483;0;0.09;0.00;99.91
2022-07-25;Rwanda;132121;1466;0;1.11;0.00;98.89
2022-07-25;Paraguay;701060;19147;0;2.73;0.00;97.27
2022-07-25;Pérou;3845093;214071;0;5.57;0.00;94.43
2022-07-25;Népal;984075;11957;0;1.22;0.00;98.78
2022-07-25;Niger;9104;311;0;3.42;0.00;96.58
2022-07-25;Malawi;87250;2660;0;3.05;0.00;96.95
2022-07-25;Martinique;208003;986;0;0.47;0.00;99.53
2022-07-25;Macédoine;323425;9359;0;2.89;0.00;97.11
2022-07-25;Monaco;13964;61;0;0.44;0.00;99.56
2022-07-25;Lesotho;34040;702;0;2.06;0.00;97.94
2022-07-25;Laos;210815;757;0;0.36;0.00;99.64
2022-07-25;Saint-Kitts-et-Nevis;6430;46;0;0.72;0.00;99.28
2022-07-25;Japon;11499018;31946;0;0.28;0.00;99.72
2022-07-25;Iran;7337928;141717;0;1.93;0.00;98.07
2022-07-25;Irlande;1639459;7620;0;0.46;0.00;99.54
2022-07-25;Grenade;18720;233;0;1.24;0.00;98.76
2022-07-25;Dominique;14852;68;0;0.46;0.00;99.54
2022-07-25;Colombie;6247634;140603;0;2.25;0.00;97.75
2022-07-25;Suisse;3911515;13877;0;0.35;0.00;99.65
2022-07-25;Belize;66767;680;0;1.02;0.00;98.98
2022-07-25;Brésil;33621965;677143;0;2.01;0.00;97.99
2022-07-25;Burundi;44437;38;0;0.09;0.00;99.91
2022-07-25;Barbade;90080;484;0;0.54;0.00;99.46
2022-07-25;Autriche;4734005;20254;0;0.43;0.00;99.57
2022-07-25;Arménie;425365;8633;0;2.03;0.00;97.97
2022-07-25;Andorre;45326;153;0;0.34;0.00;99.66
2022-07-25;Afrique du Sud;4002981;101955;0;2.55;0.00;97.45
2022-07-25;Vanuatu;11723;14;0;0.12;0.00;99.88
2022-07-25;Vatican;29;0;0;0.00;0.00;100.00
2022-07-25;Ukraine;5291868;116444;0;2.20;0.00;97.80
2022-07-25;Tonga;12515;12;0;0.10;0.00;99.90
2022-07-25;Thaïlande;4577593;31189;0;0.68;0.00;99.32
2022-07-25;Syrie;56156;3150;0;5.61;0.00;94.39
2022-07-25;Sénégal;87118;1968;0;2.26;0.00;97.74
2022-07-25;Arabie Saoudite;808053;9240;0;1.14;0.00;98.86
2022-07-25;Qatar;403444;680;0;0.17;0.00;99.83
2022-07-25;Polynésie Française;74809;649;0;0.87;0.00;99.13
