Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2021-04-22;Norvège;109581;735;17998;0.67;16.42;82.90

2021-04-22;Pays-Bas;1460753;17226;22382;1.18;1.53;97.29

2021-04-22;Nicaragua;6835;181;4225;2.65;61.81;35.54

2021-04-22;Nigéria;164588;2061;154578;1.25;93.92;4.83

2021-04-22;Niger;5143;191;4812;3.71;93.56;2.72

2021-04-22;Nouvelle-Calédonie;124;0;58;0.00;46.77;53.23

2021-04-22;Namibie;47172;616;45136;1.31;95.68;3.01

2021-04-22;Mozambique;69523;805;62394;1.16;89.75;9.10

2021-04-22;Malaisie;384688;1407;361267;0.37;93.91;5.72

2021-04-22;Mexique;2319519;214095;1841964;9.23;79.41;11.36

2021-04-22;Malawi;33989;1145;31864;3.37;93.75;2.88

2021-04-22;Maldives;27084;71;24065;0.26;88.85;10.88

2021-04-22;Maurice;1205;16;996;1.33;82.66;16.02

2021-04-22;Malte;30096;411;29166;1.37;96.91;1.72

2021-04-22;Mauritanie;18192;454;17553;2.50;96.49;1.02

2021-04-22;Martinique;9758;66;98;0.68;1.00;98.32

2021-04-22;Macao;49;0;49;0.00;100.00;0.00

2021-04-22;Mongolie;26692;61;13772;0.23;51.60;48.18

2021-04-22;Birmanie;142674;3206;131914;2.25;92.46;5.29

2021-04-22;Mali;13420;456;7732;3.40;57.62;38.99

2021-04-22;Macédoine;149221;4595;126234;3.08;84.60;12.33

2021-04-22;Îles Marshall;4;0;4;0.00;100.00;0.00

2021-04-22;Madagascar;34069;579;27152;1.70;79.70;18.60

2021-04-22;Saint Martin;1720;12;1399;0.70;81.34;17.97

2021-04-22;Montenegro;96187;1451;91905;1.51;95.55;2.94

2021-04-22;Moldavie;248009;5668;235054;2.29;94.78;2.94

2021-04-22;Monaco;2423;31;2311;1.28;95.38;3.34

2021-04-22;Maroc;507938;8976;493873;1.77;97.23;1.00

2021-04-22;Libye;174216;2936;159630;1.69;91.63;6.69

2021-04-22;Lettonie;113561;2088;103230;1.84;90.90;7.26

2021-04-22;Luxembourg;65813;790;61936;1.20;94.11;4.69

2021-04-22;Lituanie;237950;3818;215031;1.60;90.37;8.03

2021-04-22;Lesotho;10723;316;6267;2.95;58.44;38.61

2021-04-22;Libéria;2091;85;1936;4.07;92.59;3.35

2021-04-22;Sri Lanka;98722;634;93884;0.64;95.10;4.26

2021-04-22;Liechtenstein;2851;57;2715;2.00;95.23;2.77

2021-04-22;Sainte-Lucie;4455;70;4290;1.57;96.30;2.13

2021-04-22;Liban;516600;7057;437808;1.37;84.75;13.89

2021-04-22;Laos;94;0;49;0.00;52.13;47.87

2021-04-22;Kazakhstan;352988;3304;308271;0.94;87.33;11.73

2021-04-22;Koweït;262766;1493;245824;0.57;93.55;5.88

2021-04-22;Corée du Sud;117458;1811;107071;1.54;91.16;7.30

2021-04-22;Saint-Kitts-et-Nevis;44;0;44;0.00;100.00;0.00

